S.No.,Name of Indian Agent,Name of Manufacturer,%$$%Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," F/X
Intravascular Ultrasound
Imaging Catheter/Catheter
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," FlowWire® Doppler Guide
Wire/Guide Wire
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," ComboWire™ XT Pressure
and Flow Wire/Guide Wire
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," Prime Wire™ Prestige
Pressure Guide Wire/Guide
Wire
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," Prime Wire™ Prestige Plus
Pressure Guide Wire/Guide
Wire",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy",%$$%,31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Mechanichal Heart Valve
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Mechanical Heart Valve
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Pericarbon More
Mitrale/Biological Heart Valve
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Perceval S/Biolocal Heart
Valve
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Carbomedics
Carboseal/Aorthovalvular
Prosthesis
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy", Memo ,31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy","/Annuloplasty
Device
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy"," Annuloplasty Device
",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy", Annuloplasty Device,31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
5.,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s. Bard Peripheral Vascular
Inc., 1625 West 3rd Street,
Tempe, Arizona (AZ) 85281,
USA having factory premises
at M/s. C R Bard Inc., 289
Bay Road, Queensbury, NY
18204, USA",%$$%,"31-1308-MD/2013-DC
(End. 01)",,MD-1308,05.01.2015,30.09.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
5.,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s. Bard Peripheral Vascular
Inc., 1625 West 3rd Street,
Tempe, Arizona (AZ) 85281,
USA having factory premises
at M/s. C R Bard Inc., 289
Bay Road, Queensbury, NY
18204, USA"," Valeo Vascular
Stent/Vascular Stent
","31-1308-MD/2013-DC
(End. 01)",,MD-1308,05.01.2015,30.09.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
5.,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s. Bard Peripheral Vascular
Inc., 1625 West 3rd Street,
Tempe, Arizona (AZ) 85281,
USA having factory premises
at M/s. C R Bard Inc., 289
Bay Road, Queensbury, NY
18204, USA"," Denali Filter System/Vena
Cava Filter","31-1308-MD/2013-DC
(End. 01)",,MD-1308,05.01.2015,30.09.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
6.,"M/s. Edwards Lifesciences
(India) Pvt. Ltd., Plot No.
70 A, 23, Ground Floor,
Rama Road Industrial
Area, New Delhi-110015","M/s. Edwards Lifesciences
LLC, One Edwards Way,
Irvine, CA 92614-5686 USA
Having Manufacturing
premises at
M/s. Edwards Lifesciences
AG, Parque Industiral Itabo,
Km. 18.5 CARR Sanchez,
Haina, San Cristobal,
Dominican Republic",%$$%,31-1464-MD/2014-DC,,MD-1464,07.01.2015,15.12.2017,+91-022-66935701 04,
6.,"M/s. Edwards Lifesciences
(India) Pvt. Ltd., Plot No.
70 A, 23, Ground Floor,
Rama Road Industrial
Area, New Delhi-110015","M/s. Edwards Lifesciences
LLC, One Edwards Way,
Irvine, CA 92614-5686 USA
Having Manufacturing
premises at
M/s. Edwards Lifesciences
AG, Parque Industiral Itabo,
Km. 18.5 CARR Sanchez,
Haina, San Cristobal,
Dominican Republic"," VAMP (Venous/Arterial
Blood Management
Protection Kits)/Blood
Management System
",31-1464-MD/2014-DC,,MD-1464,07.01.2015,15.12.2017,+91-022-66935701 04,
6.,"M/s. Edwards Lifesciences
(India) Pvt. Ltd., Plot No.
70 A, 23, Ground Floor,
Rama Road Industrial
Area, New Delhi-110015","M/s. Edwards Lifesciences
LLC, One Edwards Way,
Irvine, CA 92614-5686 USA
Having Manufacturing
premises at
M/s. Edwards Lifesciences
AG, Parque Industiral Itabo,
Km. 18.5 CARR Sanchez,
Haina, San Cristobal,
Dominican Republic"," VAMP System
Accessories/Blood
Management System",31-1464-MD/2014-DC,,MD-1464,07.01.2015,15.12.2017,+91-022-66935701 04,
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica",%$$%,31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica"," Shoulder Anchor
",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica"," Suture
",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica"," Sutute Anchors (Titian Ti)
",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica"," Suture Anchor (Spartan
PEEK Sutute Implant)
",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica"," Spine Needles
",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica", Cannula,31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
8.,"M/s Becton Dickinson India
Pvl Ltd., No. 34, Assisi
Nagar, West Thottam,
Madhavaram Chennai-51","M/s. Becton Dickinson
Infusion
Therapy AB,
Gasebacksvagen 36, PO Box
631, 25106 Helsingborg,
Sweden having
manufacturing premises at
M/s. Becton Dickinson
Medical (S) Pte. Ltd., 30 Tuas
Avenue 2, Singapore 634961",%$$%,"31-975-MD /2011-DC
(Re-Reg. 01)",,MD-975,12.01.2015,30.11.2017,"REGIONAL OFFICE - SOUTH
BD
2nd Floor, West Wing
Corniche Al-Latheef
No.25, Cunningham Road
Bangalore, 560 052, Karnataka
India
Tel: 91-80-45354666
Fax: 91-80-41150587
E-mail: bd_india@bd.com",
8.,"M/s Becton Dickinson India
Pvl Ltd., No. 34, Assisi
Nagar, West Thottam,
Madhavaram Chennai-51","M/s. Becton Dickinson
Infusion
Therapy AB,
Gasebacksvagen 36, PO Box
631, 25106 Helsingborg,
Sweden having
manufacturing premises at
M/s. Becton Dickinson
Medical (S) Pte. Ltd., 30 Tuas
Avenue 2, Singapore 634961"," BD Neoflan I.V.
Cannula/I.V. Cannula
","31-975-MD /2011-DC
(Re-Reg. 01)",,MD-975,12.01.2015,30.11.2017,"REGIONAL OFFICE - SOUTH
BD
2nd Floor, West Wing
Corniche Al-Latheef
No.25, Cunningham Road
Bangalore, 560 052, Karnataka
India
Tel: 91-80-45354666
Fax: 91-80-41150587
E-mail: bd_india@bd.com",
8.,"M/s Becton Dickinson India
Pvl Ltd., No. 34, Assisi
Nagar, West Thottam,
Madhavaram Chennai-51","M/s. Becton Dickinson
Infusion
Therapy AB,
Gasebacksvagen 36, PO Box
631, 25106 Helsingborg,
Sweden having
manufacturing premises at
M/s. Becton Dickinson
Medical (S) Pte. Ltd., 30 Tuas
Avenue 2, Singapore 634961"," BD Venflon Pro I.V.
Cannula/I.V. Cannula
","31-975-MD /2011-DC
(Re-Reg. 01)",,MD-975,12.01.2015,30.11.2017,"REGIONAL OFFICE - SOUTH
BD
2nd Floor, West Wing
Corniche Al-Latheef
No.25, Cunningham Road
Bangalore, 560 052, Karnataka
India
Tel: 91-80-45354666
Fax: 91-80-41150587
E-mail: bd_india@bd.com",
8.,"M/s Becton Dickinson India
Pvl Ltd., No. 34, Assisi
Nagar, West Thottam,
Madhavaram Chennai-51","M/s. Becton Dickinson
Infusion
Therapy AB,
Gasebacksvagen 36, PO Box
631, 25106 Helsingborg,
Sweden having
manufacturing premises at
M/s. Becton Dickinson
Medical (S) Pte. Ltd., 30 Tuas
Avenue 2, Singapore 634961"," BD Venflon Pro Safety
Needle/I.V. Cannula","31-975-MD /2011-DC
(Re-Reg. 01)",,MD-975,12.01.2015,30.11.2017,"REGIONAL OFFICE - SOUTH
BD
2nd Floor, West Wing
Corniche Al-Latheef
No.25, Cunningham Road
Bangalore, 560 052, Karnataka
India
Tel: 91-80-45354666
Fax: 91-80-41150587
E-mail: bd_india@bd.com",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland",%$$%,31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland", Victory™ ,31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland"," Polymer Tip
Guidewire with Hydrophilic
Coating /Peripheral
Guidewire
",31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland", Victory™ ,31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland"," Polymer Tip
Guidewire with Hydrophilic
Coating /Peripheral
Guidewire",31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
10,"M/s. Carewell Medical
Systems, SCO No. 28, 2nd
Floor, Front Side, Cabin
No. 1 & 2 Sector 33D
Chandirgarh-160020
(India)","Mis. Wuxi Yushou Medical
Appliances Co. Ltd., No.2IS
Xigang Road, Dongbeitang
Town, Wuxi. City, Jiangsu
Province,. China",%$$%,"31-538-MD/2008-DC Re
reg. 02 End. 01",,MD-538,12.01.2015,15.10.2017,"Sco 28, 2nd Floor, Sector 33-D, Sector 33-D, Chandigarh, 160047
Phone: 0172 260 5140
",
10,"M/s. Carewell Medical
Systems, SCO No. 28, 2nd
Floor, Front Side, Cabin
No. 1 & 2 Sector 33D
Chandirgarh-160020
(India)","Mis. Wuxi Yushou Medical
Appliances Co. Ltd., No.2IS
Xigang Road, Dongbeitang
Town, Wuxi. City, Jiangsu
Province,. China"," Disposal Syringes with
Hypodermic Needle-Sterilized
(Auto Disable Syringe)","31-538-MD/2008-DC Re
reg. 02 End. 01",,MD-538,12.01.2015,15.10.2017,"Sco 28, 2nd Floor, Sector 33-D, Sector 33-D, Chandigarh, 160047
Phone: 0172 260 5140
",
11,"M/s. Myovatec Surgical
Systems Pvt. Ltd., T-
A/171/I, Tughlakabad
Extension, New Delhi-
110019.","M/s. Allergan, Marlow
International Parkway Marlow
Bucks, SL7 1YL, UK
Having manufacturing
premises at
M/s. Allergan Costa Rica
S.R.L., Global Park Free
Zone, La Aurora de Heredia
900 Parkway, Costa Rica",%$$%,"31-934-MD /2011-DC
(Re-Reg. 01)",,MD-934,12.01.2015,15.02.2018,"MYOVATEC Surgical Systems (P) Limited A - 12/42, 
Kalkaji Extension, New Delhi - 110019 
Phone : 91 - 011- 29985846,29980759,41861759
Fax : 91 - 011 - 29981451
E-mail : myovatec@gmail.com",
11,"M/s. Myovatec Surgical
Systems Pvt. Ltd., T-
A/171/I, Tughlakabad
Extension, New Delhi-
110019.","M/s. Allergan, Marlow
International Parkway Marlow
Bucks, SL7 1YL, UK
Having manufacturing
premises at
M/s. Allergan Costa Rica
S.R.L., Global Park Free
Zone, La Aurora de Heredia
900 Parkway, Costa Rica"," Breast Implants
","31-934-MD /2011-DC
(Re-Reg. 01)",,MD-934,12.01.2015,15.02.2018,"MYOVATEC Surgical Systems (P) Limited A - 12/42, 
Kalkaji Extension, New Delhi - 110019 
Phone : 91 - 011- 29985846,29980759,41861759
Fax : 91 - 011 - 29981451
E-mail : myovatec@gmail.com",
11,"M/s. Myovatec Surgical
Systems Pvt. Ltd., T-
A/171/I, Tughlakabad
Extension, New Delhi-
110019.","M/s. Allergan, Marlow
International Parkway Marlow
Bucks, SL7 1YL, UK
Having manufacturing
premises at
M/s. Allergan Costa Rica
S.R.L., Global Park Free
Zone, La Aurora de Heredia
900 Parkway, Costa Rica", Tissue Expanders,"31-934-MD /2011-DC
(Re-Reg. 01)",,MD-934,12.01.2015,15.02.2018,"MYOVATEC Surgical Systems (P) Limited A - 12/42, 
Kalkaji Extension, New Delhi - 110019 
Phone : 91 - 011- 29985846,29980759,41861759
Fax : 91 - 011 - 29981451
E-mail : myovatec@gmail.com",
12,"M/s. Lifecare Devices Pvt.
Ltd., Lifecare House,
Yashodhan Bldg, Flat NO.
2, 2nd Floor, 841 Mori
Road, Mahim (W),","M/s. Neobiotech Co. Ltd., at
103, 104-1 104-2, 105, 106,
2015, 212, 312, 509, 510,
511, & 10 F, E-spance, 212-
26, Guro-Dong, Guru-Gu,",%$$%,31-1466-MD/2014-DC,,MD-1466,15.01.2015,31.12.2017,"+91 44 6555 4021, 6555 0783",chennai@lifecare.in
12,"M/s. Lifecare Devices Pvt.
Ltd., Lifecare House,
Yashodhan Bldg, Flat NO.
2, 2nd Floor, 841 Mori
Road, Mahim (W),","M/s. Neobiotech Co. Ltd., at
103, 104-1 104-2, 105, 106,
2015, 212, 312, 509, 510,
511, & 10 F, E-spance, 212-
26, Guro-Dong, Guru-Gu,"," Neo CMI Implant/Dental
Implant
",31-1466-MD/2014-DC,,MD-1466,15.01.2015,31.12.2017,"+91 44 6555 4021, 6555 0783",chennai@lifecare.in
