S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
11,"M/s. Myovatec Surgical
Systems Pvt. Ltd., T-
A/171/I, Tughlakabad
Extension, New Delhi-
110019.","M/s. Allergan, Marlow
International Parkway Marlow
Bucks, SL7 1YL, UK
Having manufacturing
premises at
M/s. Allergan Costa Rica
S.R.L., Global Park Free
Zone, La Aurora de Heredia
900 Parkway, Costa Rica","1. Breast Implants
2. Tissue Expanders","31-934-MD /2011-DC
(Re-Reg. 01)",,MD-934,12.01.2015,15.02.2018,"MYOVATEC Surgical Systems (P) Limited A - 12/42, 
Kalkaji Extension, New Delhi - 110019 
Phone : 91 - 011- 29985846,29980759,41861759
Fax : 91 - 011 - 29981451
E-mail : myovatec@gmail.com",
12,"M/s. Lifecare Devices Pvt.
Ltd., Lifecare House,
Yashodhan Bldg, Flat NO.
2, 2nd Floor, 841 Mori
Road, Mahim (W),","M/s. Neobiotech Co. Ltd., at
103, 104-1 104-2, 105, 106,
2015, 212, 312, 509, 510,
511, & 10 F, E-spance, 212-
26, Guro-Dong, Guru-Gu,","1. Neo CMI Implant/Dental
Implant
2. Neo CMI Implant/Dental
Implant (Endosseous
Superstruture)",31-1466-MD/2014-DC,,MD-1466,15.01.2015,31.12.2017,"+91 44 6555 4021, 6555 0783",chennai@lifecare.in
,"Mumbai-400016
Maharashtra","Seoul, Korea",,,,,,,,
13,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249A,
Rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai-
600056","M/s. Cook Ireland
Incorporated, 750 Daniels
Way, Bloomington, IN 47402-
0489, USA","1. Polyvinyl Alcohol Foam
Embolization
Particles/Embolization Device","31-113-MD/2006-DC
(Re-Reg 02) End. 02",,MD-113,15.01.2015,30.04.2016,"Cook Medical Device Pvt. Ltd.
4/249A, Rasim Enclave, 
Poonamalee High Road
Goparasanallur, Kattupakkam, Chennai
Tamilnadu, India - 600056
Phone: +91 44 26793000",india.orders@cookmedical.com 
14,"M/s. Teleflex medical
Private Limited, Old No. 10,
No. 19, 1st Floor & Ground
Floor, Harington Road,
Chetpet, Chennai-600031","M/s Arrow International Inc.,
2400 Bernville Road, Reading
Pensylvania 19605, USA
Having factory premises at
M/s Arrow International C.R.
a.s. Jamska 2359/47, Zdar
nad sazanou, 59101 Czech
Republic","1. Arrow/Central Venous
Catheters
2. Arrow/Central Venous
Catheters
3. Arrow/Haemodialysis
Catheters
4. Arrow/Epidural Catheters/
5. Arrow/Peripheral Nerve
Block
6. Arrow/Central Venous
Catheters/
7. Arrow/Multi-Lument Access
Catheter (MAC).
8. Arrow/Thermodilution
Catheter","31-882-MD/2010-DC
(Re-Reg. 01)",,MD-882,19.01.2015,31.12.2017,"Teleflex Medical India Regional Office 
Teleflex Medical Private Limited
""Blue Heaven"" 19, Harrington Road
Chetpet, Chennai - 600 031
Phone: +91-44-2836-5040 / 5041
Fax: +91-44-2836-0682",InfoIndia@teleflex.com
15,"M/s. Boston Scientific India
Pvt Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, One Boston
Scientific Place, natick, MA
01760-1537, USA having
factory premises at
M/s. Boston Scientific
Corporation, 780 Brookside
Drive, Spencer, IN 47460,
USA","1. Percuflex Biliary
Stent/Biliary Stent
2. Advanix Biliary Stent/Biliary
Stent
3. Naviflex RX Delivery
System/Stent Delivery
System
4. Advanix Biliary Stent with
Naviflex RX delivery
system/Biliary Stent
5. eXcelon Single-use
Transbronchinal Aspiration
Needle/Aspiration Needle
6. Zero Tip Airway Retrieval
Basket/Retrieval Basket","31-162-MD/2006-DC
(Re-Reg. 02) End. 06",,MD-162,19.01.2015,15.06.2016,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
16,"M/s. Bard India Healthcar
Pvt. Ltd., 201, 5th Floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri
(E),Mumbai-400069","M/s. ClearStream
Technolgies Ltd., Moyne
Upper, Enniscorthy, Co.
Wexford, Ireland","1. ReeKross PTA Balloon
Catheter, ReeKross 14 TPA
Balloon Catheter, ReeKross
18 PTA Balloon Catheter/PTA
Balloon Catheter
2. Reeflex PTA Balloon
Catheter/PTA Balloon
Catheter/PTA Balloon
Catheter
3. LitePAC Rapid Exchange
PTA Balloon Catheter/PTA
Balloon Catheter",31-1513-MD/2014-DC,,MD-1513,19.01.2015,31.12.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
17,"M/s. Axon Medical Solution
Pvt.Ltd., 202, 2nd Floor,
244/26B, Shivaji Gali,
Pankid Park Vill. Ghondli,
Shahdara Delhi, India","M/s. Reach Surgical Inc. 5,
Fourth Street, Bldg. B, 4th
Floor, TEDA, 300457 Tianjin,
China",1. Open Surgical Staplers,3-1545-MD/2014-DC,,MD-1545,15.01.2015,31.12.2017,"Axon Medical Solutions (P) Ltd.
64, Lower Ground Floor, 
Chitra Vihar, Near Laxmi Nagar District Centre, Delhi-110092 (India)

Ph : 91-11-22411600",E-mail :info@axonmedicalsolutions.com
18,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249A,
Rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai-
600056","M/s. Cook Ireland
Incorporated, 750 Daniels
Way, Bloomington, IN 47402-
0489, USA","1. Polyvinyl Alcohol Foam
Embolization
Particles/Embolization Device","31-113-MD/2006-DC
(Re-Reg 02) End. 02",,MD-113,15.01.2015,30.04.2016,"Cook Medical Device Pvt. Ltd.
4/249A, Rasim Enclave, 
Poonamalee High Road
Goparasanallur, Kattupakkam, Chennai
Tamilnadu, India - 600056
Phone: +91 44 26793000",india.orders@cookmedical.com 
19,"M/s. Nobel Biocare India
Pvt. Ltd., CCI Logistics
Park, 2nd Floor Room No.
12, Administrative Builidng,
Kolkhe, Palaspa Phata Tal:
Panvel (Raigad),
Maharashtra-410206 India","M/s. Zest Anchors, LLC, 2061
Wineridge Place Esondido,
CA 9*2029, USA","1. Locator
Abutment/Abutment (Non-
Sterile)",31-1556-MD/2014-DC,,MD-1556,15.01.2015,31.12.2018,"Nobel Biocare India Pvt. Ltd.
Unit No. 702, 7th Floor, A- Wing, Supreme Business Park,
Supreme City, Powai, Mumbai 400076
India

Phone:     +91 22 6751 9964
Fax:         +91 22 6751 9900
Toll free customer service: 1 800 266 0308",customercare.india@nobelbiocare.com
20,"M/s. Baxter (India) Pvt.
Ltd., Plot No. 70, A-26,
Rama Road Industrial
Area,New Delhi-110015","M/s. Baxter Healthcare S.A.,
8010 Zurich, Switzerlad
Having manufacturing
premises at
M/s. Baxter Healthcare S.A.,
Foxford Road Swinford","1. Locking Titanium Adapter
for Peritoneal Dialysis
Catheter/Peritoneal Dialysis
Catheter","3-734-MD/2009-DC (Re-
Reg. 01)",,MD-734,21.01.2015,15.01.2018,"Baxter (India) Private Limited
2nd Floor, Tower-C, Building No.8,
DLF Cyber City, DLF Phase-II,
Gurgaon-122 002, Haryana, India
Switchboard 
Phone : +91-124-4500200
Fax       : +91-124-4263505",
,,"County Mayo, Ireland",,,,,,,,
21,"M/s. Smith & Nephew
Healthcarea Pvt. Ltd., Bldg
2-3, & 15-17 Rajlaxmi
Complex, Opp. Hanuman
Bus Stop, Kalher, Thane –
Bhiwandi Road, Thane –
421302, India","/s. Smith & Nephew Inc, 1450
Brooks Road, Memphis, TN
38116, USA Having
manufacturing premises at
M/s. Smith & Nephew
Orthopaedics GmbH,
Alemannenstrasse 14, 78532
Tuttlingen, Germany","1. Genesis II/Knee System
2. Legion/Knee System
3. Reflection/Acetabular
System
4. R3/Acetabular System","31-858-MD/2010-DC
(Re-Reg. 01) End. 01",,MD-858,21.01.2015,14.04.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
22,"M/s. B. Braun Medical
(India) Pvt. Ltd., Bldg B,
Gala NO. 1-10, Prerna
Complex, Anjur Phata,
Dapoda, At. Val Village-B,
Tal: Bhiwandi (Thane-
Zone5)-421302","M/s. B. Braun Medical, 204
Avenue du Marechal Juin-BP
331, 92107, Boulogne,
France having manufacturing
premises at
M/s. B. Braun Medical
Industries Sdn. Bhd. Bayan
Lepas Free Industrial Zone
11900 Penang, Malaysia","1. Surecan/Special bevelled
needles for implantable
vascular access system
2. Cytocan/Special bevelled
needles for implantable
vascular access system","31-393-MD/2007-DC
(Re-Reg. 02)",,MD-393,21.01.2015,31.12.2017,"Chennai
B Braun Medical (I) Pvt. Ltd.
8th Floor ,Prince Towers, 53 & 54 college road,
Chennai - 600006 (T.N.)
Tel : (91-44) 28255637/28255639
Fax : (91-44) 28252019",
23,"M/s. Coloplast India Pvt.
Ltd., Khasra No. 44/14/2,
17, 24 & amp; 47/4 5, 6, 7
Village- Taj Nagar, Patudi
Road, Gurgaon","M/s. Coloplast A/S Holtedam
1, 3050 Humlebaek, Denmark
Having manufacturing
premises at
M/s. Advances Medical A
trading company of
Brightwake Ltd, Siding Road,
Lowmoor Industrial Estate,
Kirkby-in-Ashfield, NG17 7JZ,
United Kingdom","1. Physiotulle/Wound Contact
Layer (Knitted Polyester net
with impregnation of CMC
suspended in petrolatum)",31-1530-MD/2014-DC,,MD-1530,21.01.2015,31.12.2017,"Unit No. O-108, Plot no.-4,

Salcon Aurum, District Centre Jasola,

New Delhi-110025, India. +91 – 11 – 40800400

1800 102 0550*",cin@coloplast.com
24,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s. Bard Access Systems,
Inc., 605 North 5600 West,
Salt Lake City, Utah, USA
84116
Having factory premises at
M/s. Integra Biotechnical, SA
de CV, Ferrocarril # 17030
Interior 8 16 & 17, Col. Ninos
Heroes Este, Tijuana, Baja
Californai, Mexico 22120","1. Power LOC/Safety Infusion
Set
2. SafeStep/Huber Needle
Set",31-1524-MD/2014-DC,,MD-1524,21.01.2015,31.12.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
25,"M/s. Bard India Healthcare
Pvt. Ltd., 1st Floor, 67
Krishna Bhavan, Nehru
Road, Vileparle (East),
Mumbai - 400057,
Maharshtra","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886
Having manufacturing
premises at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791","1. Ventralex™ ST Hernia
Patch/Hernia Patch
2. Ventralight™ ST
Mesh/Mesh
3. Ventrio™ ST Hernia
Patch/Hernia Patch","31-1349-MD/2013-DC
(End. 01)",,MD-1349,21.01.2015,15.01.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
26,"M/s. Teleflex medical
Private Limited, Old No. 10,
No. 19, 1st Floor & Ground
Floor, Harington Road,
Chetpet, Chennai-600031","M/s. Teleflex Medical, IDA
Business and Technology
Park, Dublin Road, Athlone,
Co. Westmeath, Ireland
Having manufacturing
premises at
M/s. Arrow Intenternational
C.R.a.s. Jamska 2359/47,
59101 Zdar Nad Sazavou
Czech Republic","1. Rusch Ureter Stent/Ureter
Stents
2. Rusch Ureteral
Catheter/Ureter Catheter
3. Superglide PCN 2-
Step/Percuaneous
Nephrostomy Catheter","31-932-MD/2011-DC
(Re-Reg. 01)",,MD-932,23.01.2015,15.02.2018,"Teleflex Medical India Regional Office 
Teleflex Medical Private Limited
""Blue Heaven"" 19, Harrington Road
Chetpet, Chennai - 600 031
Phone: +91-44-2836-5040 / 5041
Fax: +91-44-2836-0682",InfoIndia@teleflex.com
27,"M/s. W. L. Gore &
Associated (Pacific) Pte.
Ltd. 215 Atrium, ""A"" Wing,
Unte No. 802 803, 804
Andheri Kurla Road,
Andheri (East), Mumbai-
400059","M/s. W. L. Gore & Associates
Inc., 1505, North Fourth
Street, Falgstaff, Arizona
86004, USA, Having
manufacturing premises at
M/s. W. L. Gore & Associates
(UK) Ltd. Mariner Drive,
Dundee Technology PARK,
DD2 1JA Scotland UK",1. Gore-Tex Vascular Graft,31-,1342-MD/2013-DC,MD-145,23.01.2015,15.01.2018,"2, Crystal Tower, 75, Gundavaly Village Road, Andheri East, Andheri East, Mumbai, Maharashtra 400069
Phone: 022 2835 0528",
28,M/s. Emergo (India),"M/s. Trilliant Surgical Ltd.,",1. Tiger Cannulated screw,31-1548-MD/2014-DC,,MD-1548,23.01.2015,31.12.2017,,
,"Consulting Pvt. Ltd., H. No.
8/1, First Floor, Vasavi
Colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle- 7, Mandal,
Hyderabad-500009,
Andhra Pradesh, India","6721, Portwest Drive, Suite
160 Houston, TX 77024","and Tiger Headless
Cannulated
screw/Cannulated screw
(Non-Sterile)
2. Gridlock plating system
Plate/Orthoapedic platesl
(Non-sterile)
3. Gridlock, plating system-
screw/Orthopaedic Screws
(Non-sterile)",,,,,,,
29,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Medos Internation
SARL, Chemin-Blanc 38, Le
Locle, CH-2400, Switzerland
Having manufacturing
premises at
M/s. Micrus Endovascular
LLC 851 Fox Lane, San Jose,
California 95131, USA","1. Revove SE/Thrombectomy
device","31-1442-MD/2014-DC
(End. 01)",,MD-1442,23.01.2015,15.09.2017,,
30,"M/s. Access Devices No.
28, 12th Cross, Indiranagar
1st Stage Bangalore-
560038","M/s Districtclass Medical SA,
16, Rue Paul Bert 42000
Saint Etienne-
France Having manufacturing
premises at
M/s Districlass Medical SA,
B.P. 14, 69970,
Chaponnay-France","1. districAth (Titanium
Range)/Implantable Catheter
Ports (Titanium)
2. districAth Titanium-
Polysulfone
Range/Implantable Catheter
Ports (Titanium-Polysulfone)","31-97-MD/2006-DC (Re-
Reg. 02)",,MD-97,23.01.2015,31.12.2017,"12th Cross, Indira Nagar II Stage, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038
Phone: 080 2525 3840",
31,"M/s. Manju Enterprises Pvt.
Ltd., 28, 1st Floor, Jia
Sarai, Near IIT Gate, New
Delhi-110016","M/s. Life Vascular Devices
(LVD) Biotech, S.L, Cami de
Can Ubach, 11, Pol. Ind. Les
Fallulles, (08620) Sant Vicenc
dels Horts, Barcelona, Spain","1. IVASCULAR OCEANUS
35/Balloon Catheter
2. IVASCULAR OCEANUS
14/Balloon Catheter
3. IVASCULAR
XPERIENCE/Balloon
Catheter
4. IVASCULAR
ARCHITECT/CoCr Coronary
Stent System",31-1421-MD/2013-DC,,MD-1421,23.01.2015,31.12.2017,"28, 1st Floor, Jia Sarai, New Delhi, Delhi 110016
Phone: 011 2652 1812",
32,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground","M/s. Lake Region Medical,
340 Lake Hazeltine Dr,","1. Zipwire™ Hydrophilic
Guidewire/Urological",31-1542-MD/2014-DC,,MD-1542,23.01.2015,31.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
,"Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","Chaska MN, USA 55318","Guidewire
2. Thruway™
Guidewire/Guidewire
3. Zipwire™ Hydrophilic
Guidewire",,,,,,,
33,"M/s. India Medtronic
Private Limited, Plot No.
609, Surver/Shed-188
(Part), Chanmunda Comp.,
Kasheli Village, Dist-
Thane, Bhiwandi-421301","M/s. Medtronic Inc., 710,
Medtronic Parkway,
Minneapolis MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Mexico, S.De
R.L. de CV, Av. Paseo
Cucapah 10510, Parque
Industrial EI Lago, Tijuana
B.C., 22570, Mexico","1. NC Euphora Rapid
Exchange Balloon Dilatation
Catheter/Rapid Exchange
Balloon Dilatation Catheter","31-381-MD/2007-DC
(Re-Reg. 02) End. 03",,MD-381,23.01.2015,14.02.2017,"Cochin Regional Office 

32/2291, A (25), 2nd Floor Civil Lanes, 

Vasudeva Complex,

Palarivatton, Cochin – 682025 

Phone: +91-484-2335946/47

Fax: +91-484-2335945",
34,"M/s. Johnson & Johnson
Ltd., A-1/50, room No. 2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad),
Gujarat","M/s. DePuy Medical (Ireland),
Loughbeg, Ringaskiddy, Co.
Cork, Ireland
Having manufacturing
premises at
M/s. Johnson & Johsnon
Medical (Suzhou) Ltd., No.
299, Chang YANG Street,
Suzhu Industrial Park,
Suzhou 215126, China","1. Marathon XLPE Cemented
Cup/Orthopaedic Implant","31-999-MD/2011-DC
(End. 03)",,MD-999,23.01.2015,31.03.2015,,
35,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","M/s. Togo Medikit Co., Ltd.
Hyuga Factory 17148-6, Aza
kamekawa, Oaza Hichiya,
Hyuga city, Miyazaki
Prefecture 883-0062, Japan","1. Super Sheath/Introducer
Sheath",31-1544-MD/2014-DC,,MD-1544,23.01.2015,31.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
36,"M/s. Smiths Medical India
Private Limited.,
508-509, A Wing, Western
Edge-II,
Western Express Highway,
Boriwali East, Mumbai,
Tal: Boriwali East (Mumbai
Zone7) Pin: 400066","M/s. Smiths Medical
International Limited,
Boundary Road, Hythe, Kent
CT21 6JL, United Kingdom
Having manufacturing
premises at
M/s. Jiangsu IAWA
Biosciences Engineeing Co.","1. Portex®/Endotracheal
Tube",31-1366-MD/2013-DC,,MD-1336,23.01.2015,15.01.2018,,
,,"Ltd., 211 Ji-an Road,
Hanjiang Industrial Park,
Yangzhou 225127 Jiangsu,
China",,,,,,,,
37,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No. 8. Aslai, Tal: Daskroi
(N.A.), Ahmedabad-
(Gujarat).","M/s. Biomet UK Ltd., of
Waterton Industrial Estate
Bridgend, South Wales, CF
31 3XA, UK","1. G7 Ceramic Liners/Hip
Implant System","31-1281-MD/2013-DC
(End. 02)",,MD-1281,30.01.2015,30.09.2016,,
38,"M/s. Stryker India Pvt. Ltd.,
Khasra No. 191-193, Firs
Floor, Asola Village,
Fatehpur Beri, New Delhi","M/s. Howmedica Osteonics
Corp., 325 Corporate Drive,
Mahwah, New Jersy Having
manufacturing premises at
M/s. Howmedica Osteonics
Corp., 325 Corporate Drive,
Mahwah, New Jersy","1. Restoration Acetabular
Wedge Augment
System/Wedge Augment
System","31-186-MD/2007-DC
(Re-Reg. 02) End. 01",,MD-186,30.01.2015,30.09.2016,,
39,"M/s. Covidien Healthcare
India Pvt. Ltd.,
No. 156 “Doshi Towers, 6th
Floor, Poonamallee High
Road,
Kilapuk, Chennai 600010","M/s. Ev3 Inc.
4600 Nathan Lane North,
Plymouth, MN 55442, USA","1. Nitrex™
Guidewire/Guidewire","31-51-MD/2006-DC (Re-
Reg. 02)
End. 02",,MD-51,30.01.2015,30.06.2017,,
40,"M/s. Abbott Medical Optics
Pvt. Ltd., No. 91, G.N.T.
road, Madhavaram,
Chennai - 600110","M/s. Abbott Medical Optics
Inc. (Formerly Known as
Advanced Medical Optic Inc.,)
1700 E.St. Andrew Place,
Santa Ana, CA 92705 USA
Having manufacturing
premises at
M/s. AMO Puerto Rico
Manufacturing Inc., Road 402
North, Km 4.2, Anasco, PR
00610 USA","1. TECNIS/Tecnis Multifocal
1-piece IOL with the Tecnis
iTec Preloaded Delivery
System","31-18-MD/2006-DC (Re
Reg. 02)",,MD-18,30.01.2015,31.05.2016,,
41,"M/s. Admirus MarksoI
Private Limited., Shop No.
11, Plot No. D-20 & 21 Sai
Sitara Building, Secotr No.
6, New Panvel, Tal.
Panvel-410206","M/s. Plylganics BV.,
Rozenburglaan 15A, 9727 DL
Groningen, The Netherlands","1. Nasopore Standard,
Nasopore Forte and
Nasopore Forte Plus
(Polyganics0. Sinunasal
wound dressing",31-1599-MD/2014-DC,,MD-1599,03.02.2015,15.01.2018,,
42,"M/s Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi
110020","M/s Boston Scientific
corporation, One Boston
Scientific place, natick, MA
01760-1537, USA having
manufacturing site at
M/s Boston Scientific
corporation, One Boston
Scientific place, natick, MA
01760, USA","1. Imager™ II/Angiographic
Catheter","31-1069-MD/2011-DC
(Re-Reg. 01)",,MD-1069,03.02.2015,30.03.2018,,
